1950-01-01,-0.29
1950-02-01,0.50
1950-03-01,-0.97
1950-04-01,1.24
1950-05-01,-0.17
1950-06-01,-0.46
1950-07-01,-0.55
1950-08-01,0.43
1950-09-01,0.83
1950-10-01,1.03
1950-11-01,-0.08
1950-12-01,2.75
1951-01-01,0.99
1951-02-01,0.55
1951-03-01,-0.23
1951-04-01,-0.36
1951-05-01,0.90
1951-06-01,0.09
1951-07-01,-0.41
1951-08-01,-0.22
1951-09-01,-0.18
1951-10-01,1.05
1951-11-01,-1.26
1951-12-01,0.07
1952-01-01,1.52
1952-02-01,0.70
1952-03-01,-0.03
1952-04-01,0.42
1952-05-01,-1.88
1952-06-01,0.62
1952-07-01,1.87
1952-08-01,-1.03
1952-09-01,-0.08
1952-10-01,-0.61
1952-11-01,-1.09
1952-12-01,0.18
1953-01-01,0.14
1953-02-01,-0.12
1953-03-01,-0.85
1953-04-01,0.54
1953-05-01,-3.68
1953-06-01,0.60
1953-07-01,-1.34
1953-08-01,-1.36
1953-09-01,-0.43
1953-10-01,1.74
1953-11-01,-1.73
1953-12-01,-0.27
1954-01-01,0.90
1954-02-01,1.20
1954-03-01,-0.13
1954-04-01,-0.45
1954-05-01,1.25
1954-06-01,0.55
1954-07-01,0.44
1954-08-01,1.50
1954-09-01,0.59
1954-10-01,-0.35
1954-11-01,-0.63
1954-12-01,-0.47
1955-01-01,0.08
1955-02-01,0.58
1955-03-01,-3.04
1955-04-01,-2.32
1955-05-01,-0.53
1955-06-01,-1.79
1955-07-01,-0.23
1955-08-01,-1.79
1955-09-01,0.89
1955-10-01,1.55
1955-11-01,-2.91
1955-12-01,-0.12
1956-01-01,0.15
1956-02-01,0.54
1956-03-01,-0.85
1956-04-01,0.75
1956-05-01,0.17
1956-06-01,-0.09
1956-07-01,-0.34
1956-08-01,0.15
1956-09-01,-1.79
1956-10-01,0.51
1956-11-01,0.72
1956-12-01,-1.64
1957-01-01,-0.09
1957-02-01,-0.96
1957-03-01,-1.12
1957-04-01,-0.10
1957-05-01,0.91
1957-06-01,1.03
1957-07-01,-0.03
1957-08-01,-1.23
1957-09-01,0.48
1957-10-01,-0.68
1957-11-01,-0.09
1957-12-01,0.47
1958-01-01,0.31
1958-02-01,-0.64
1958-03-01,1.52
1958-04-01,-0.24
1958-05-01,0.54
1958-06-01,0.03
1958-07-01,-0.34
1958-08-01,-1.47
1958-09-01,-0.88
1958-10-01,-0.05
1958-11-01,0.43
1958-12-01,0.69
1959-01-01,0.58
1959-02-01,-1.31
1959-03-01,0.60
1959-04-01,-0.17
1959-05-01,0.16
1959-06-01,0.54
1959-07-01,-0.61
1959-08-01,0.57
1959-09-01,1.11
1959-10-01,0.85
1959-11-01,0.34
1959-12-01,1.21
1960-01-01,0.24
1960-02-01,-0.75
1960-03-01,0.76
